19, Private,544091, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25, United-States, <=50K
28, Private,444304, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
43, Private,413297, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
34, Private,441454, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,0,24, United-States, <=50K
44, Local-gov,409505, Bachelors,13, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Private,421132, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
63, Self-emp-not-inc,795830, 1st-4th,2, Widowed, Other-service, Unmarried, White, Female,0,0,30, El-Salvador, <=50K
29, Private,419721, HS-grad,9, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Japan, <=50K
32, Private,509350, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Canada, >50K
34, Private,467108, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
20, Private,444554, 10th,6, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
26, Private,403788, Assoc-acdm,12, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
54, Private,449257, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
28, Private,441620, Bachelors,13, Never-married, Other-service, Not-in-family, White, Male,0,0,43, Mexico, <=50K
46, Private,563883, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,60, United-States, >50K
32, Private,402812, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, <=50K
20, Private,431745, Some-college,10, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,14, United-States, <=50K
42, State-gov,436006, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States, <=50K
69, Private,473040, 5th-6th,3, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private,910398, Bachelors,13, Never-married, Sales, Not-in-family, Black, Female,0,0,40, United-States, <=50K
35, Private,451940, HS-grad,9, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
45, Private,428350, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,1740,40, United-States, <=50K
37, Private,405723, 1st-4th,2, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
41, Private,421871, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
44, Private,443040, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50K
32, Private,420895, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
51, Private,415287, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,1902,40, United-States, >50K
32, Private,496743, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private,429507, Assoc-acdm,12, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50K
19, Private,418324, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,36, United-States, <=50K
21, Private,538319, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,40, Puerto-Rico, <=50K
30, Private,399088, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
27, Federal-gov,508336, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,48, United-States, <=50K
42, Local-gov,445382, Bachelors,13, Separated, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, >50K
44, Self-emp-not-inc,483201, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
29, Private,452205, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,36, United-States, <=50K
31, Private,672412, 11th,7, Separated, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
39, Local-gov,473547, 10th,6, Divorced, Handlers-cleaners, Own-child, Black, Male,0,0,40, United-States, <=50K
29, Private,421065, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,48, United-States, <=50K
39, Private,505119, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Cuba, >50K
23, Private,460046, HS-grad,9, Separated, Exec-managerial, Unmarried, White, Female,0,0,42, United-States, <=50K
32, Private,549430, HS-grad,9, Never-married, Priv-house-serv, Unmarried, White, Female,0,0,40, Mexico, <=50K
29, Private,410351, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private,410034, Some-college,10, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
25, Private,441591, Bachelors,13, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc,438696, Masters,14, Divorced, Sales, Unmarried, White, Male,0,0,5, United-States, >50K
30, Private,488720, 9th,5, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,0,0,40, Mexico, <=50K
27, Private,408623, Bachelors,13, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,50, United-States, <=50K
23, Private,482082, 12th,8, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,21, Mexico, <=50K
22, Private,460835, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,55, United-States, <=50K
23, Self-emp-not-inc,519627, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,25, Mexico, <=50K
18, Private,675421, 9th,5, Never-married, Handlers-cleaners, Own-child, White, Male,594,0,40, United-States, <=50K
47, Private,481987, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
37, Private,758700, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,3781,0,50, Mexico, <=50K
34, Private,509364, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,30, United-States, <=50K
30, Private,432565, Assoc-voc,11, Married-civ-spouse, Tech-support, Other-relative, White, Female,0,0,40, Canada, >50K
18, Private,415520, 11th,7, Never-married, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
29, Private,490332, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
27, Private,466224, Some-college,10, Never-married, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
19, Private,446219, 10th,6, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
38, Private,407068, 5th-6th,3, Married-civ-spouse, Other-service, Husband, White, Male,0,0,75, Mexico, <=50K
18, Private,423460, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,36, United-States, <=50K
34, Private,509364, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
27, Federal-gov,409815, Some-college,10, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
56, Private,656036, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,25, United-States, <=50K
41, Private,443508, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, Canada, >50K
32, Federal-gov,566117, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Private,436253, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
32, Federal-gov,454508, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
22, Private,427686, 10th,6, Divorced, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
39, Private,548510, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,30, United-States, <=50K
39, Private,401832, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
17, Private,400225, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
37, Private,545483, Assoc-acdm,12, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
25, Private,503012, 5th-6th,3, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Mexico, <=50K
31, Private,407930, 7th-8th,4, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
47, Private,573583, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, Italy, >50K
34, Private,511361, Some-college,10, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
24, Private,454941, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Private,452405, Preschool,1, Never-married, Other-service, Other-relative, White, Female,0,0,35, Mexico, <=50K
61, Private,716416, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,44, United-States, >50K
28, Private,480861, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
30, Private,398827, HS-grad,9, Married-AF-spouse, Adm-clerical, Husband, White, Male,0,0,60, United-States, <=50K
38, Private,498785, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
33, Private,637222, 12th,8, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
28, Private,430084, HS-grad,9, Divorced, Other-service, Own-child, Black, Male,0,0,35, United-States, <=50K
30, Private,423770, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Mexico, <=50K
29, Private,406662, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private,417657, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,50, United-States, <=50K
30, Private,403433, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,50, United-States, >50K
31, Local-gov,446358, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, Mexico, >50K
29, Private,457402, 5th-6th,3, Never-married, Other-service, Not-in-family, White, Male,0,0,25, Mexico, <=50K
47, Private,664821, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, El-Salvador, <=50K
37, Private,409189, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
35, Self-emp-not-inc,462890, 10th,6, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,50, United-States, <=50K
43, Private,598606, 9th,5, Separated, Handlers-cleaners, Unmarried, Black, Female,0,0,50, United-States, <=50K
54, Private,457237, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
35, Private,465326, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
50, Private,400004, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
46, Private,503923, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,4386,0,40, United-States, >50K
40, Private,572751, Prof-school,15, Married-civ-spouse, Craft-repair, Husband, White, Male,5178,0,40, Mexico, >50K
23, Private,580248, HS-grad,9, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
58, Private,519006, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,52, United-States, <=50K
52, Federal-gov,617021, Bachelors,13, Married-civ-spouse, Tech-support, Husband, Black, Male,7688,0,40, United-States, >50K
23, Private,407684, 9th,5, Never-married, Machine-op-inspct, Other-relative, White, Female,0,0,40, Mexico, <=50K
22, Private,437994, Some-college,10, Never-married, Other-service, Other-relative, Black, Male,0,0,20, United-States, <=50K
27, Private,406662, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,4416,0,40, United-States, <=50K
21, Local-gov,596776, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Guatemala, <=50K
27, Private,588905, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private,517995, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,0,40, Mexico, <=50K
32, Private,640383, Bachelors,13, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
30, Private,504725, 10th,6, Never-married, Sales, Other-relative, White, Male,0,0,18, Guatemala, <=50K
19, Private,423863, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
51, Local-gov,420917, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
37, Federal-gov,470663, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private,611029, 10th,6, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
18, Private,437851, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private,495888, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
53, Local-gov,549341, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,35, United-States, <=50K
32, Private,408328, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
20, Private,400443, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
43, Private,421837, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
39, Private,746786, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States, >50K
48, Private,413363, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2002,40, United-States, <=50K
64, State-gov,550848, 10th,6, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
22, Private,400966, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
40, Private,404573, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,44, United-States, <=50K
44, Federal-gov,404599, HS-grad,9, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
40, Private,510072, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States, >50K
28, Private,407672, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private,449432, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private,430471, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
52, Private,416129, Preschool,1, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
25, Private,511331, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,38, United-States, <=50K
29, Private,446559, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,50, United-States, <=50K
21, Private,452640, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private,456399, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Federal-gov,469705, HS-grad,9, Never-married, Craft-repair, Not-in-family, Black, Male,0,1980,40, United-States, <=50K
59, Private,656036, Bachelors,13, Separated, Adm-clerical, Unmarried, White, Male,0,0,60, United-States, <=50K
30, Private,488720, Assoc-voc,11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico, <=50K
21, Private,434710, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,15, United-States, <=50K
45, Private,449354, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
22, Private,401335, Some-college,10, Never-married, Other-service, Unmarried, Black, Female,0,0,30, United-States, <=50K
30, Private,425627, Some-college,10, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, Mexico, <=50K
24, Private,399449, Bachelors,13, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private,406078, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,25, United-States, <=50K
35, Private,417136, HS-grad,9, Divorced, Craft-repair, Unmarried, Black, Male,0,0,40, United-States, <=50K
21, Private,460835, HS-grad,9, Never-married, Sales, Other-relative, White, Male,0,0,45, United-States, <=50K
43, Private,416338, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
53, Private,424079, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,55, United-States, >50K
67, State-gov,423561, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
24, Private,403671, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private,688355, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
48, Private,398843, Some-college,10, Separated, Sales, Unmarried, Black, Female,0,0,35, United-States, <=50K
33, Private,401104, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, >50K
27, Private,587310, 7th-8th,4, Never-married, Other-service, Other-relative, White, Male,0,0,35, Guatemala, <=50K
69, Private,628797, Some-college,10, Widowed, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
44, Private,421449, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private,424988, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
36, Private,398931, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1485,50, United-States, >50K
41, Self-emp-not-inc,443508, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
44, Self-emp-not-inc,402397, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,1902,60, United-States, >50K
37, Private,632613, 10th,6, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, Mexico, <=50K
55, Private,414994, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Private,499249, HS-grad,9, Married-spouse-absent, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
22, Private,445758, 5th-6th,3, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Mexico, <=50K
52, Private,416164, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,49, Mexico, <=50K
32, Private,473133, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
68, Self-emp-not-inc,450580, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,20, United-States, <=50K
40, State-gov,506329, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Taiwan, >50K
63, Private,445168, Bachelors,13, Widowed, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,56, United-States, <=50K
34, Private,516337, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico, <=50K
20, Private,432376, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,40, Germany, <=50K
19, Private,571853, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
30, Private,1184622, Some-college,10, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,35, United-States, <=50K
33, State-gov,913447, Some-college,10, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
35, Private,476573, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,0,4, United-States, <=50K
29, Private,632593, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
34, State-gov,595000, Masters,14, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, United-States, >50K
18, Private,703067, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
39, Private,484475, 11th,7, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
44, Private,476391, Some-college,10, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private,749105, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,36, United-States, <=50K
31, Private,459465, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
45, Private,543922, Masters,14, Divorced, Transport-moving, Not-in-family, White, Male,14344,0,48, United-States, >50K
42, Private,413297, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
49, Federal-gov,420282, Some-college,10, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
48, Private,498325, Assoc-acdm,12, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
52, State-gov,447579, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, England, <=50K
19, Private,415354, 10th,6, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Self-emp-not-inc,414991, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,70, Cuba, <=50K
31, Private,420749, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
20, Private,482732, 10th,6, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private,414871, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
57, Self-emp-not-inc,437281, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,38, United-States, >50K
29, Private,427965, Bachelors,13, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
22, Private,505980, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private,549349, Some-college,10, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
